subject,img,pixels
1,1,168153 9 168570 15 168984 22 169401 26 169818 30 170236 34 170654 36 171072 39 171489 42 171907 44 172325 46 172742 50 173159 53 173578 54 173997 55 174416 56 174834 58 175252 60 175670 62 176088 64 176507 65 176926 66 177345 66 177764 67 178183 67 178601 69 179020 70 179438 71 179857 71 180276 71 180694 73 181113 73 181532 73 181945 2 181950 75 182365 79 182785 79 183205 78 183625 78 184045 77 184465 76 184885 75 185305 75 185725 74 186145 73 186565 72 186985 71 187405 71 187825 70 188245 69 188665 68 189085 68 189506 66 189926 65 190346 63 190766 63 191186 62 191606 62 192026 61 192446 60 192866 59 193286 59 193706 58 194126 57 194546 56 194966 55 195387 53 195807 53 196227 51 196647 50 197067 50 197487 48 197907 47 198328 45 198749 42 199169 40 199589 39 200010 35 200431 33 200853 29 201274 27 201697 20 202120 15 202544 6
1,2,96346 7 96762 16 97179 27 97595 35 98012 40 98429 44 98845 49 99262 55 99678 59 100095 63 100511 67 100928 71 101345 74 101761 79 102178 82 102595 86 103014 87 103433 88 103852 89 104271 90 104690 91 105110 92 105529 93 105948 94 106367 95 106786 96 107205 97 107625 97 108044 98 108463 99 108882 100 109301 101 109720 102 110140 102 110559 102 110978 103 111398 103 111817 104 112237 104 112656 105 113076 105 113495 106 113915 105 114334 106 114754 106 115174 106 115593 106 116013 106 116433 105 116853 104 117272 105 117692 104 118112 104 118532 103 118952 102 119372 102 119792 102 120212 101 120633 98 121053 97 121473 95 121893 94 122313 87 122734 84 123154 81 123575 77 123996 71 124416 68 124836 65 125257 60 125678 57 126099 52 126520 44 126942 39 127364 32 127789 20 128211 15 128633 11
1,3,121957 2 122365 26 122784 28 123202 31 123618 36 124036 39 124454 42 124872 44 125289 47 125707 50 126126 51 126544 53 126963 54 127381 57 127798 60 128217 61 128636 63 129055 64 129475 65 129894 66 130313 67 130732 68 131151 69 131570 70 131989 71 132408 73 132827 74 133246 75 133650 6 133665 76 134070 11 134084 77 134489 92 134908 92 135326 94 135745 95 136164 96 136583 97 137001 98 137420 99 137839 99 138259 99 138679 98 139098 98 139518 98 139937 99 140356 100 140775 100 141195 100 141614 100 142034 100 142454 99 142873 100 143293 99 143712 100 144132 100 144551 100 144971 100 145391 100 145811 99 146230 100 146650 99 147069 99 147489 98 147909 98 148329 97 148749 97 149168 97 149588 97 150008 96 150428 95 150848 94 151268 94 151688 93 152108 93 152528 92 152948 91 153368 90 153788 89 154208 89 154628 88 155048 87 155468 85 155889 83 156309 82 156729 81 157150 79 157570 78 157991 76 158412 74 158832 73 159252 72 159673 70 160095 67 160516 64 160938 61 161359 59 161781 56 162203 53 162623 51 163044 47 163465 44 163887 39 164309 36 164730 33 165154 26 165580 15 166002 11
1,4,110980 9 111393 21 111810 33 112228 43 112647 45 113066 46 113485 48 113904 50 114324 51 114743 53 115162 55 115581 57 116001 58 116420 60 116840 61 117259 63 117679 64 118098 66 118518 66 118937 69 119357 71 119777 72 120197 73 120616 74 121036 75 121456 75 121876 76 122296 77 122716 77 123136 77 123556 77 123976 77 124396 77 124816 77 125236 77 125656 77 126076 77 126496 77 126916 77 127336 76 127756 76 128176 75 128596 75 129016 75 129436 74 129856 73 130276 72 130696 70 131117 68 131537 68 131958 66 132378 65 132800 62 133220 59 133642 56 134063 54 134485 50 134907 45 135330 39 135751 36 136174 32 136599 23
1,5,
1,6,
1,7,172767 15 173175 29 173591 34 173993 7 174004 42 174412 56 174830 58 175248 61 175667 63 176085 65 176503 67 176922 68 177340 71 177759 72 178177 74 178595 76 179013 78 179431 80 179850 81 180268 83 180687 84 181105 86 181524 87 181943 88 182361 90 182780 91 183198 93 183617 94 184036 95 184455 96 184875 96 185294 96 185714 96 186133 97 186553 97 186972 98 187392 98 187811 99 188231 99 188651 99 189071 99 189491 98 189910 99 190330 98 190750 98 191170 97 191590 97 192010 97 192431 95 192851 95 193271 95 193691 94 194111 94 194532 92 194952 91 195373 89 195793 88 196214 86 196635 85 197055 85 197476 83 197897 81 198319 78 198739 76 199160 73 199581 70 200001 68 200423 65 200845 62 201266 58 201688 53 202109 50 202530 46 202952 40 203376 29 203799 24 204224 14
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,129067 35 129480 45 129899 48 130317 51 130736 52 131154 55 131573 56 131991 59 132410 61 132829 62 133247 64 133666 66 134084 68 134503 69 134922 71 135340 74 135760 74 136179 75 136598 77 137018 77 137437 78 137857 78 138276 80 138695 81 139115 81 139534 82 139954 82 140373 83 140792 84 141212 84 141631 85 142051 85 142470 86 142889 87 143308 88 143728 88 144148 88 144567 89 144986 90 145406 90 145825 90 146245 90 146665 90 147084 91 147504 90 147923 91 148342 92 148762 91 149182 90 149601 91 150021 90 150441 90 150861 90 151281 89 151701 89 152121 88 152540 89 152960 88 153380 88 153801 87 154221 86 154641 85 155061 84 155481 84 155901 83 156321 82 156742 81 157162 80 157582 79 158002 78 158422 78 158842 78 159263 76 159683 76 160104 74 160524 73 160944 72 161364 71 161785 69 162205 68 162625 67 163046 65 163466 64 163887 62 164307 61 164728 59 165149 57 165569 56 165990 54 166410 51 166831 49 167252 47 167673 44 168094 42 168515 40 168938 34 169359 32 169783 23 170210 8
1,15,157175 4 157591 14 158008 23 158427 28 158846 33 159265 38 159683 44 160103 47 160157 5 160522 63 160941 65 161361 66 161780 68 162200 68 162619 70 163039 71 163459 71 163878 73 164298 73 164718 74 165137 75 165557 75 165977 75 166397 75 166817 76 167237 76 167657 76 168077 76 168497 76 168917 76 169337 76 169757 75 170177 75 170597 75 171017 75 171437 74 171857 74 172277 74 172698 73 173118 72 173539 71 173959 70 174380 69 174800 69 175220 69 175640 68 176061 67 176481 66 176902 65 177323 63 177744 62 178165 60 178586 59 179006 59 179426 58 179846 57 180267 55 180688 53 181109 51 181530 48 181952 45 182374 39 182795 36 183217 33 183639 28 184061 21 184487 10
1,16,
1,17,81614 17 82025 31 82437 44 82853 49 83272 51 83689 55 84107 58 84525 61 84942 64 85360 69 85778 71 86197 72 86616 73 87035 75 87454 76 87872 78 88291 79 88711 79 89130 80 89550 80 89970 80 90389 82 90809 82 91229 82 91649 81 92069 81 92489 81 92909 81 93329 81 93749 81 94169 81 94589 81 95009 81 95429 81 95849 81 96269 81 96689 81 97109 80 97529 80 97949 80 98369 80 98789 80 99209 78 99629 78 100048 79 100468 78 100888 78 101309 77 101729 77 102150 75 102570 74 102991 73 103411 72 103832 71 104252 70 104672 69 105093 68 105513 67 105934 65 106355 63 106777 59 107197 57 107618 54 108039 52 108460 49 108881 45 109303 42 109724 38 110146 31 110568 27
1,18,
1,19,
1,20,152589 2 153006 9 153423 15 153839 23 154256 32 154672 45 155089 51 155506 58 155922 63 156339 67 156757 71 157176 73 157596 73 158015 75 158434 77 158853 78 159272 79 159691 80 160110 82 160529 83 160947 85 161367 85 161786 86 162205 87 162624 88 163043 89 163462 90 163882 90 164301 91 164720 92 165139 93 165559 93 165978 94 166398 94 166817 95 167237 95 167656 96 168075 97 168494 98 168914 98 169334 98 169753 99 170173 99 170593 98 171013 98 171433 97 171853 97 172272 97 172692 97 173112 96 173531 97 173951 96 174372 95 174792 94 175213 93 175633 93 176053 92 176474 91 176894 90 177314 89 177735 87 178156 85 178577 83 178998 81 179420 78 179841 77 180263 74 180684 73 181105 70 181526 67 181947 64 182370 60 182792 56 183214 52 183636 48 184062 40 184486 34 184919 20 185344 12
1,21,
1,22,
1,23,122374 2 122793 3 123213 4 123630 8 124046 13 124462 18 124878 23 125294 27 125710 32 126126 36 126542 40 126959 44 127375 48 127794 50 128212 53 128631 55 129049 57 129468 59 129886 61 130305 63 130723 65 131142 66 131561 68 131980 69 132399 71 132818 72 133235 75 133654 76 134073 77 134493 78 134912 79 135331 80 135750 81 136169 83 136588 84 137007 85 137426 86 137845 87 138264 88 138684 88 139103 90 139523 91 139943 91 140362 92 140782 92 141201 93 141621 93 142041 93 142461 93 142880 94 143300 94 143720 94 144139 96 144559 96 144979 96 145399 96 145819 96 146239 95 146658 96 147078 96 147498 96 147917 97 148337 97 148757 97 149178 95 149599 94 150019 93 150439 93 150859 93 151279 93 151699 93 152119 93 152540 92 152960 91 153381 90 153802 89 154222 89 154643 88 155064 87 155485 85 155905 85 156326 84 156747 82 157168 81 157589 79 158009 79 158430 78 158850 77 159271 75 159692 74 160115 69 160536 66 160957 62 161378 60 161799 56 162222 51 162643 46 163064 41 163485 39 163909 30 164334 14
1,24,127371 11 127784 31 128203 35 128621 39 129040 42 129459 45 129878 49 130297 52 130716 55 131135 58 131554 62 131973 65 132392 68 132811 71 133230 75 133649 77 134069 77 134488 79 134908 80 135327 82 135746 84 136166 84 136585 86 137005 86 137424 88 137844 88 138263 89 138683 89 139101 92 139521 93 139940 94 140360 94 140780 94 141199 95 141619 95 142038 96 142458 96 142878 96 143297 97 143717 97 144136 97 144556 97 144976 96 145396 96 145816 96 146236 95 146656 95 147076 95 147496 95 147916 95 148336 94 148756 93 149176 93 149597 91 150017 90 150437 89 150858 88 151278 87 151699 85 152120 83 152541 80 152961 79 153382 77 153803 74 154224 72 154645 69 155066 66 155487 61 155909 58 156330 54 156753 49 157174 46 157597 40 158020 34 158441 30 158868 12
1,25,
1,26,
1,27,132447 9 132863 14 133281 18 133697 25 134116 27 134534 29 134951 33 135370 35 135789 36 136208 38 136626 41 137045 42 137464 44 137881 48 138299 50 138717 53 139135 56 139550 61 139967 64 140385 66 140804 68 141223 69 141642 70 142061 71 142480 72 142899 73 143318 75 143737 76 144157 77 144576 78 144995 80 145414 81 145834 81 146253 83 146672 84 147091 85 147510 86 147929 87 148348 88 148767 89 149186 90 149605 91 150024 92 150443 93 150862 93 151281 94 151700 95 152119 95 152538 95 152957 96 153377 95 153796 96 154216 96 154636 95 155055 95 155475 95 155894 96 156314 95 156734 94 157154 93 157574 92 157994 91 158413 91 158833 90 159253 89 159673 88 160093 87 160513 86 160933 85 161353 84 161773 83 162193 82 162613 81 163034 80 163454 79 163874 78 164294 77 164714 76 165135 75 165555 74 165975 73 166396 71 166816 70 167237 68 167658 66 168079 63 168500 61 168921 59 169342 57 169763 54 170185 50 170606 47 171029 43 171450 40 171872 36 172294 33 172717 29 173138 26 173559 24 173982 15
1,28,
1,29,133717 33 134134 37 134552 40 134970 44 135383 52 135800 56 136217 60 136635 62 137052 66 137468 70 137887 72 138306 73 138723 77 139141 79 139559 81 139976 85 140394 87 140811 90 141229 92 141647 94 142065 96 142483 99 142901 101 143319 103 143738 104 144157 105 144575 107 144994 108 145413 109 145833 109 146252 110 146672 109 147091 110 147510 111 147930 111 148350 111 148769 111 149189 111 149608 111 150027 112 150447 112 150867 111 151286 112 151706 111 152125 112 152545 111 152965 110 153385 110 153805 110 154225 109 154645 108 155065 108 155485 107 155905 107 156325 107 156745 106 157165 105 157585 105 158005 104 158425 103 158845 103 159265 102 159685 101 160105 100 160525 99 160946 97 161366 96 161786 95 162206 94 162626 93 163047 91 163467 90 163887 89 164308 87 164728 86 165148 85 165568 84 165989 82 166410 81 166830 79 167251 77 167672 75 168093 73 168514 71 168934 68 169355 66 169777 63 170198 60 170619 56 171041 52 171462 48 171886 43 172308 39 172730 34 173152 29 173573 27 173997 15 174423 1
1,30,
1,31,
